"replication","truth_id","truth_structure","alpha","snr_overall_sigma_0_2","snr_dev_sigma_0_2","snr_overall_sigma_0_5","snr_dev_sigma_0_5","overall_ratio","deviation_ratio","overall_ratio_pass","deviation_ratio_pass"
2,"cluster_a50","cluster",0.5,13.1439300956462,9.28518009564625,2.1030288153034,1.4856288153034,6.25,6.25,TRUE,TRUE
2,"cluster_a90","cluster",0.9,13.8290776832377,9.97032768323772,2.21265242931804,1.59525242931804,6.25,6.25,TRUE,TRUE
2,"coordinate_a50","coordinate",0.5,11.8709471359349,8.0121971359349,1.89935154174958,1.28195154174958,6.25,6.25,TRUE,TRUE
2,"coordinate_a90","coordinate",0.9,12.0529588133837,8.19420881338368,1.92847341014139,1.31107341014139,6.25,6.25,TRUE,TRUE
20,"cluster_a50","cluster",0.5,13.0063739826176,9.14762398261756,2.08101983721881,1.46361983721881,6.25,6.25,TRUE,TRUE
20,"cluster_a90","cluster",0.9,13.801566460632,9.94281646063199,2.20825063370112,1.59085063370112,6.25,6.25,TRUE,TRUE
20,"coordinate_a50","coordinate",0.5,12.5266692311746,8.66791923117459,2.00426707698794,1.38686707698794,6.25,6.25,TRUE,TRUE
20,"coordinate_a90","coordinate",0.9,12.3854491143033,8.52669911430333,1.98167185828853,1.36427185828853,6.25,6.25,TRUE,TRUE
21,"cluster_a50","cluster",0.5,13.2158664704445,9.35711647044453,2.11453863527113,1.49713863527113,6.25,6.25,TRUE,TRUE
21,"cluster_a90","cluster",0.9,13.8434649581974,9.98471495819738,2.21495439331158,1.59755439331158,6.25,6.25,TRUE,TRUE
21,"coordinate_a50","coordinate",0.5,11.7470550017108,7.88830500171084,1.87952880027373,1.26212880027373,6.25,6.25,TRUE,TRUE
21,"coordinate_a90","coordinate",0.9,11.9976007956284,8.13885079562842,1.91961612730055,1.30221612730055,6.25,6.25,TRUE,TRUE
22,"cluster_a50","cluster",0.5,12.9900989235478,9.13134892354785,2.07841582776766,1.46101582776766,6.25,6.25,TRUE,TRUE
22,"cluster_a90","cluster",0.9,13.798311448818,9.93956144881804,2.20772983181089,1.59032983181089,6.25,6.25,TRUE,TRUE
22,"coordinate_a50","coordinate",0.5,12.058475862356,8.19972586235597,1.92935613797696,1.31195613797696,6.25,6.25,TRUE,TRUE
22,"coordinate_a90","coordinate",0.9,12.0513395607623,8.1925895607623,1.92821432972197,1.31081432972197,6.25,6.25,TRUE,TRUE
23,"cluster_a50","cluster",0.5,13.1460404779799,9.28729047797991,2.10336647647679,1.48596647647679,6.25,6.25,TRUE,TRUE
23,"cluster_a90","cluster",0.9,13.8294997597045,9.97074975970446,2.21271996155271,1.59531996155271,6.25,6.25,TRUE,TRUE
23,"coordinate_a50","coordinate",0.5,12.1405850660225,8.28183506602253,1.9424936105636,1.3250936105636,6.25,6.25,TRUE,TRUE
23,"coordinate_a90","coordinate",0.9,12.0601488526385,8.20139885263848,1.92962381642216,1.31222381642216,6.25,6.25,TRUE,TRUE
24,"cluster_a50","cluster",0.5,13.0657294011168,9.20697940111682,2.09051670417869,1.47311670417869,6.25,6.25,TRUE,TRUE
24,"cluster_a90","cluster",0.9,13.8134375443318,9.95468754433184,2.21015000709309,1.59275000709309,6.25,6.25,TRUE,TRUE
24,"coordinate_a50","coordinate",0.5,12.0813457101814,8.22259571018145,1.93301531362903,1.31561531362903,6.25,6.25,TRUE,TRUE
24,"coordinate_a90","coordinate",0.9,12.1108647016497,8.25211470164972,1.93773835226396,1.32033835226395,6.25,6.25,TRUE,TRUE
25,"cluster_a50","cluster",0.5,12.8271686344922,8.96841863449218,2.05234698151875,1.43494698151875,6.25,6.25,TRUE,TRUE
25,"cluster_a90","cluster",0.9,13.7657253910069,9.90697539100691,2.20251606256111,1.58511606256111,6.25,6.25,TRUE,TRUE
25,"coordinate_a50","coordinate",0.5,12.4386860580513,8.57993605805135,1.99018976928822,1.37278976928822,6.25,6.25,TRUE,TRUE
25,"coordinate_a90","coordinate",0.9,12.2142431469512,8.35549314695117,1.95427890351219,1.33687890351219,6.25,6.25,TRUE,TRUE
26,"cluster_a50","cluster",0.5,13.2362030083089,9.37745300830895,2.11779248132943,1.50039248132943,6.25,6.25,TRUE,TRUE
26,"cluster_a90","cluster",0.9,13.8475322657703,9.98878226577026,2.21560516252324,1.59820516252324,6.25,6.25,TRUE,TRUE
26,"coordinate_a50","coordinate",0.5,11.8540769442491,7.99532694424913,1.89665231107986,1.27925231107986,6.25,6.25,TRUE,TRUE
26,"coordinate_a90","coordinate",0.9,11.983676517935,8.12492651793497,1.91738824286959,1.29998824286959,6.25,6.25,TRUE,TRUE
27,"cluster_a50","cluster",0.5,12.7972058692242,8.93845586922421,2.04755293907587,1.43015293907587,6.25,6.25,TRUE,TRUE
27,"cluster_a90","cluster",0.9,13.7597328379533,9.90098283795332,2.20155725407253,1.58415725407253,6.25,6.25,TRUE,TRUE
27,"coordinate_a50","coordinate",0.5,12.1090776087526,8.25032760875259,1.93745241740041,1.32005241740041,6.25,6.25,TRUE,TRUE
27,"coordinate_a90","coordinate",0.9,12.1419983695727,8.28324836957274,1.94271973913164,1.32531973913164,6.25,6.25,TRUE,TRUE
28,"cluster_a50","cluster",0.5,13.1149220798828,9.25617207988277,2.09838753278124,1.48098753278124,6.25,6.25,TRUE,TRUE
28,"cluster_a90","cluster",0.9,13.823276080085,9.96452608008503,2.2117241728136,1.5943241728136,6.25,6.25,TRUE,TRUE
28,"coordinate_a50","coordinate",0.5,11.8853119312208,8.02656193122076,1.90164990899532,1.28424990899532,6.25,6.25,TRUE,TRUE
28,"coordinate_a90","coordinate",0.9,12.0744491085704,8.21569910857036,1.93191185737126,1.31451185737126,6.25,6.25,TRUE,TRUE
29,"cluster_a50","cluster",0.5,13.1949371331655,9.3361871331655,2.11118994130648,1.49378994130648,6.25,6.25,TRUE,TRUE
29,"cluster_a90","cluster",0.9,13.8392790907416,9.98052909074157,2.21428465451865,1.59688465451865,6.25,6.25,TRUE,TRUE
29,"coordinate_a50","coordinate",0.5,12.4638195094109,8.60506950941088,1.99421112150574,1.37681112150574,6.25,6.25,TRUE,TRUE
29,"coordinate_a90","coordinate",0.9,12.3044164927194,8.44566649271941,1.96870663883511,1.35130663883511,6.25,6.25,TRUE,TRUE
3,"cluster_a50","cluster",0.5,12.9756705340396,9.11692053403956,2.07610728544633,1.45870728544633,6.25,6.25,TRUE,TRUE
3,"cluster_a90","cluster",0.9,13.7954257709164,9.93667577091638,2.20726812334662,1.58986812334662,6.25,6.25,TRUE,TRUE
3,"coordinate_a50","coordinate",0.5,11.9540106623599,8.09526066235993,1.91264170597759,1.29524170597759,6.25,6.25,TRUE,TRUE
3,"coordinate_a90","coordinate",0.9,12.1160304527745,8.25728045277446,1.93856487244391,1.32116487244391,6.25,6.25,TRUE,TRUE
30,"cluster_a50","cluster",0.5,12.8997489631459,9.04099896314586,2.06395983410334,1.44655983410334,6.25,6.25,TRUE,TRUE
30,"cluster_a90","cluster",0.9,13.7802414567376,9.92149145673765,2.20483863307802,1.58743863307802,6.25,6.25,TRUE,TRUE
30,"coordinate_a50","coordinate",0.5,12.1076148447835,8.24886484478352,1.93721837516536,1.31981837516536,6.25,6.25,TRUE,TRUE
30,"coordinate_a90","coordinate",0.9,12.1380134252376,8.2792634252376,1.94208214803802,1.32468214803802,6.25,6.25,TRUE,TRUE
31,"cluster_a50","cluster",0.5,13.0684323085316,9.20968230853164,2.09094916936506,1.47354916936506,6.25,6.25,TRUE,TRUE
31,"cluster_a90","cluster",0.9,13.8139781258148,9.9552281258148,2.21023650013037,1.59283650013037,6.25,6.25,TRUE,TRUE
31,"coordinate_a50","coordinate",0.5,12.2326133909077,8.37386339090773,1.95721814254524,1.33981814254524,6.25,6.25,TRUE,TRUE
31,"coordinate_a90","coordinate",0.9,12.1746605342515,8.3159105342515,1.94794568548024,1.33054568548024,6.25,6.25,TRUE,TRUE
32,"cluster_a50","cluster",0.5,13.1910305414908,9.33228054149082,2.11056488663853,1.49316488663853,6.25,6.25,TRUE,TRUE
32,"cluster_a90","cluster",0.9,13.8384977724066,9.97974777240664,2.21415964358506,1.59675964358506,6.25,6.25,TRUE,TRUE
32,"coordinate_a50","coordinate",0.5,12.0004689547237,8.14171895472373,1.9200750327558,1.3026750327558,6.25,6.25,TRUE,TRUE
32,"coordinate_a90","coordinate",0.9,12.0645076935532,8.20575769355323,1.93032123096852,1.31292123096852,6.25,6.25,TRUE,TRUE
33,"cluster_a50","cluster",0.5,12.9604169678901,9.10166696789014,2.07366671486242,1.45626671486242,6.25,6.25,TRUE,TRUE
33,"cluster_a90","cluster",0.9,13.7923750576865,9.9336250576865,2.20678000922984,1.58938000922984,6.25,6.25,TRUE,TRUE
33,"coordinate_a50","coordinate",0.5,11.8262507621379,7.96750076213794,1.89220012194207,1.27480012194207,6.25,6.25,TRUE,TRUE
33,"coordinate_a90","coordinate",0.9,11.9275329138442,8.06878291384419,1.90840526621507,1.29100526621507,6.25,6.25,TRUE,TRUE
34,"cluster_a50","cluster",0.5,13.141238561228,9.28248856122797,2.10259816979648,1.48519816979648,6.25,6.25,TRUE,TRUE
34,"cluster_a90","cluster",0.9,13.8285393763541,9.96978937635407,2.21256630021665,1.59516630021665,6.25,6.25,TRUE,TRUE
34,"coordinate_a50","coordinate",0.5,11.586974953165,7.72822495316497,1.8539159925064,1.2365159925064,6.25,6.25,TRUE,TRUE
34,"coordinate_a90","coordinate",0.9,11.8828012160776,8.02405121607761,1.90124819457242,1.28384819457242,6.25,6.25,TRUE,TRUE
35,"cluster_a50","cluster",0.5,13.0182401993453,9.15949019934529,2.08291843189525,1.46551843189525,6.25,6.25,TRUE,TRUE
35,"cluster_a90","cluster",0.9,13.8039397039775,9.94518970397753,2.20863035263641,1.59123035263641,6.25,6.25,TRUE,TRUE
35,"coordinate_a50","coordinate",0.5,12.7433387036335,8.88458870363351,2.03893419258136,1.42153419258136,6.25,6.25,TRUE,TRUE
35,"coordinate_a90","coordinate",0.9,12.4286570555101,8.56990705551006,1.98858512888161,1.37118512888161,6.25,6.25,TRUE,TRUE
36,"cluster_a50","cluster",0.5,13.2790376921565,9.4202876921565,2.12464603074504,1.50724603074504,6.25,6.25,TRUE,TRUE
