"truth_id","truth_structure","alpha","sigma","n","minimum","median","mean","maximum"
"cluster_a50","cluster",0.5,0.2,50,8.89520238590821,9.20826843045073,9.21227814384947,9.4488618877628
"cluster_a50","cluster",0.5,0.5,50,1.42323238174531,1.47332294887212,1.47396450301592,1.51181790204205
"cluster_a90","cluster",0.9,0.2,50,9.89233214129012,9.95494535019862,9.95574729287837,10.003064041661
"cluster_a90","cluster",0.9,0.5,50,1.58277314260642,1.59279125603178,1.59291956686054,1.60049024666577
"coordinate_a50","coordinate",0.5,0.2,50,7.61148945965634,8.24959622676806,8.23098405974756,8.88458870363351
"coordinate_a50","coordinate",0.5,0.5,50,1.21783831354501,1.31993539628289,1.31695744955961,1.42153419258136
"coordinate_a90","coordinate",0.9,0.2,50,8.02188128338273,8.25469757721209,8.25143081386657,8.56990705551006
"coordinate_a90","coordinate",0.9,0.5,50,1.28350100534124,1.32075161235393,1.32022893021865,1.37118512888161
