"truth_id","truth_structure","alpha","k_deviation","n","minimum","median","mean","maximum"
"cluster_a50","cluster",0.5,15,50,0.00369033324510584,0.00373908131790526,0.00373852474949947,0.00380552133711733
"cluster_a90","cluster",0.9,15,50,0.00358492311415992,0.00359371931617976,0.0035935820041585,0.00360526590835177
"coordinate_a50","coordinate",0.5,15,50,0.00380782807318841,0.00395447121407895,0.003960686865341,0.00412033895776807
"coordinate_a90","coordinate",0.9,15,50,0.00387842307901301,0.00395321866941767,0.00395437896637165,0.00401132413577088
