"replication","truth_id","truth_structure","alpha","sigma","overall_signal_ms","deviation_signal_ms","overall_signal_rms","deviation_signal_rms","snr_overall","snr_dev"
1,"coordinate_a50","coordinate",0.5,0.2,0.479521023153409,0.325171023153409,0.69247456498662,0.570237690049868,11.9880255788352,8.12927557883523
1,"coordinate_a50","coordinate",0.5,0.5,0.479521023153409,0.325171023153409,0.69247456498662,0.570237690049868,1.91808409261364,1.30068409261364
1,"coordinate_a90","coordinate",0.9,0.2,0.479127790619666,0.324777790619666,0.692190573917087,0.569892788706495,11.9781947654916,8.11944476549165
1,"coordinate_a90","coordinate",0.9,0.5,0.479127790619666,0.324777790619666,0.692190573917087,0.569892788706495,1.91651116247866,1.29911116247866
1,"cluster_a50","cluster",0.5,0.2,0.517310685323866,0.362960685323867,0.719243133664734,0.60246218580411,12.9327671330967,9.07401713309666
1,"cluster_a50","cluster",0.5,0.5,0.517310685323866,0.362960685323867,0.719243133664734,0.60246218580411,2.06924274129547,1.45184274129547
1,"cluster_a90","cluster",0.9,0.2,0.551473803629112,0.397123803629112,0.742612822155066,0.630177596895599,13.7868450907278,9.92809509072781
1,"cluster_a90","cluster",0.9,0.5,0.551473803629112,0.397123803629112,0.742612822155066,0.630177596895599,2.20589521451645,1.58849521451645
2,"coordinate_a50","coordinate",0.5,0.2,0.474837885437396,0.320487885437396,0.689084817302918,0.566116494581633,11.8709471359349,8.0121971359349
2,"coordinate_a50","coordinate",0.5,0.5,0.474837885437396,0.320487885437396,0.689084817302918,0.566116494581633,1.89935154174958,1.28195154174958
2,"coordinate_a90","coordinate",0.9,0.2,0.482118352535347,0.327768352535347,0.694347429271073,0.572510569802294,12.0529588133837,8.19420881338368
2,"coordinate_a90","coordinate",0.9,0.5,0.482118352535347,0.327768352535347,0.694347429271073,0.572510569802294,1.92847341014139,1.31107341014139
2,"cluster_a50","cluster",0.5,0.2,0.52575720382585,0.37140720382585,0.725091169320004,0.609431869716255,13.1439300956462,9.28518009564625
2,"cluster_a50","cluster",0.5,0.5,0.52575720382585,0.37140720382585,0.725091169320004,0.609431869716255,2.1030288153034,1.4856288153034
2,"cluster_a90","cluster",0.9,0.2,0.553163107329509,0.398813107329509,0.7437493578683,0.631516513900871,13.8290776832377,9.97032768323772
2,"cluster_a90","cluster",0.9,0.5,0.553163107329509,0.398813107329509,0.7437493578683,0.631516513900871,2.21265242931804,1.59525242931804
3,"coordinate_a50","coordinate",0.5,0.2,0.478160426494397,0.323810426494397,0.691491450774626,0.569043431114355,11.9540106623599,8.09526066235993
3,"coordinate_a50","coordinate",0.5,0.5,0.478160426494397,0.323810426494397,0.691491450774626,0.569043431114355,1.91264170597759,1.29524170597759
3,"coordinate_a90","coordinate",0.9,0.2,0.484641218110978,0.330291218110978,0.696161775818651,0.574709681587998,12.1160304527745,8.25728045277446
3,"coordinate_a90","coordinate",0.9,0.5,0.484641218110978,0.330291218110978,0.696161775818651,0.574709681587998,1.93856487244391,1.32116487244391
3,"cluster_a50","cluster",0.5,0.2,0.519026821361582,0.364676821361582,0.720435161108606,0.603884774904602,12.9756705340396,9.11692053403956
3,"cluster_a50","cluster",0.5,0.5,0.519026821361582,0.364676821361582,0.720435161108606,0.603884774904602,2.07610728544633,1.45870728544633
3,"cluster_a90","cluster",0.9,0.2,0.551817030836655,0.397467030836655,0.742843880527164,0.630449863856481,13.7954257709164,9.93667577091638
3,"cluster_a90","cluster",0.9,0.5,0.551817030836655,0.397467030836655,0.742843880527164,0.630449863856481,2.20726812334662,1.58986812334662
4,"coordinate_a50","coordinate",0.5,0.2,0.471994623266703,0.317644623266703,0.68701864841262,0.563599701265627,11.7998655816676,7.94111558166759
4,"coordinate_a50","coordinate",0.5,0.5,0.471994623266703,0.317644623266703,0.68701864841262,0.563599701265627,1.88797849306681,1.27057849306681
4,"coordinate_a90","coordinate",0.9,0.2,0.477702505930561,0.323352505930561,0.691160260670823,0.568640928821133,11.942562648264,8.08381264826401
4,"coordinate_a90","coordinate",0.9,0.5,0.477702505930561,0.323352505930561,0.691160260670823,0.568640928821133,1.91081002372224,1.29341002372224
4,"cluster_a50","cluster",0.5,0.2,0.52286589140613,0.36851589140613,0.723094662825089,0.607055097504444,13.0716472851532,9.21289728515324
4,"cluster_a50","cluster",0.5,0.5,0.52286589140613,0.36851589140613,0.723094662825089,0.607055097504444,2.09146356562452,1.47406356562452
