"cell_id","truth_structure","alpha","neighbourhood","sigma","attempted","jointly_successful","mean_boundary_relative_ise","mean_interior_relative_ise","mean_boundary_did","paired_mcse","lower_two_mcse","upper_two_mcse","boundary_loss_rate"
"cluster_a50_queen_s20","cluster",0.5,"queen",0.2,200,200,1.56040035277954e-05,-3.93243648839808e-05,5.49283684117762e-05,4.89465277498502e-05,-4.29646870879242e-05,0.000152821423911477,0.51
"cluster_a50_queen_s50","cluster",0.5,"queen",0.5,200,200,-0.0030286607480832,-0.00448813862542846,0.00145947787734526,0.000515919933574413,0.00042763801019643,0.00249131774449408,0.57
"cluster_a50_rook_s20","cluster",0.5,"rook",0.2,200,200,2.12788991421022e-05,-2.65087771378091e-05,4.77876762799113e-05,4.88063749688296e-05,-4.98250736577479e-05,0.000145400426217571,0.505
"cluster_a50_rook_s50","cluster",0.5,"rook",0.5,200,200,-0.00315404005773179,-0.00437015173358213,0.00121611167585035,0.000513548390669631,0.000189014894511084,0.00224320845718961,0.545
"cluster_a90_queen_s20","cluster",0.9,"queen",0.2,200,200,0.00039888660664264,0.000339238193598327,5.96484130443132e-05,4.58308793507103e-05,-3.20133456571074e-05,0.000151310171745734,0.535
"cluster_a90_queen_s50","cluster",0.9,"queen",0.5,200,200,-0.000909410253013576,-0.00365935517421171,0.00274994492119813,0.000486743261911271,0.00177645839737559,0.00372343144502067,0.66
"cluster_a90_rook_s20","cluster",0.9,"rook",0.2,200,200,0.000412860004482094,0.000361591748645111,5.12682558369836e-05,4.66367598962716e-05,-4.20052639555595e-05,0.000144541775629527,0.55
"cluster_a90_rook_s50","cluster",0.9,"rook",0.5,200,200,-0.0016906800609034,-0.00400337920921023,0.00231269914830683,0.000497591834659281,0.00131751547898827,0.00330788281762539,0.64
