"method","n_edges","mean_edge_rms","median_edge_rms","mean_nonedge_rms","median_nonedge_rms","edge_to_nonedge_ratio","relative_edge_rms_reduction_vs_nodewise"
"Observed",62,1.60146076866074,1.50039284241076,2.60709670739793,2.54326507009654,0.614269798322562,NA
"Nodewise",62,1.0213669688579,0.786596216718933,1.53912932040315,1.38585044577635,0.663600488482909,0
"Network",62,0.84513888968148,0.654902534117665,1.26384285558369,1.1053019094746,0.668705674876934,17.2541392613743
